gameID,platform,count_comp,count_total,comp_main,comp_plus,comp_100,comp_low,comp_high
20,Emulated,1.0,1.0,66000.0,0.0,0.0,66000.0,66000.0
20,PC,10.0,19.0,59155.0,105515.0,162000.0,45207.0,162000.0
20,PlayStation 2,32.0,79.0,83891.0,144611.0,202048.0,32824.0,274909.0
20,PlayStation 4,22.0,25.0,68016.0,89582.0,152542.0,34099.0,216000.0
21,Emulated,1.0,1.0,62580.0,0.0,0.0,62580.0,62580.0
21,PC,5.0,12.0,61448.0,109836.0,0.0,51639.0,127115.0
21,PlayStation 2,27.0,65.0,92261.0,136020.0,192180.0,35667.0,216000.0
21,PlayStation 4,17.0,19.0,67670.0,98157.0,172020.0,32841.0,172020.0
18,Xbox 360,53.0,138.0,28646.0,33243.0,67611.0,10800.0,100800.0
18,Xbox One,3.0,4.0,22680.0,0.0,0.0,16140.0,28800.0
1,PC,9.0,8.0,37132.0,193015.0,97200.0,27262.0,435044.0
23,PlayStation Portable,2.0,2.0,104050.0,160119.0,0.0,104050.0,160119.0
19,Emulated,1.0,1.0,67980.0,0.0,0.0,67980.0,67980.0
19,Nintendo Switch,2.0,3.0,39420.0,39619.0,0.0,39420.0,39619.0
19,PC,29.0,36.0,59005.0,75628.0,150737.0,25200.0,157474.0
19,PlayStation 2,56.0,110.0,86302.0,110890.0,138703.0,36000.0,212055.0
19,PlayStation 4,45.0,57.0,54260.0,82936.0,129654.0,30600.0,180000.0
19,PlayStation 5,1.0,1.0,0.0,93089.0,0.0,93089.0,93089.0
24,Emulated,6.0,9.0,40153.0,85331.0,0.0,31680.0,165143.0
24,PlayStation 2,52.0,150.0,61636.0,74190.0,108245.0,27886.0,185758.0
22,Emulated,14.0,14.0,54166.0,78333.0,0.0,32400.0,147388.0
22,PlayStation 2,114.0,275.0,62085.0,74462.0,103478.0,28649.0,148620.0
25,Emulated,3.0,6.0,46800.0,76607.0,0.0,46800.0,104734.0
25,PlayStation 2,35.0,118.0,70779.0,82982.0,78460.0,31500.0,161160.0
26,Emulated,2.0,6.0,52140.0,79200.0,0.0,52140.0,79200.0
26,PlayStation 2,30.0,92.0,62147.0,75939.0,87375.0,34200.0,108000.0
29,Emulated,1.0,3.0,10800.0,0.0,0.0,10800.0,10800.0
29,PlayStation,10.0,27.0,11783.0,10800.0,4834.0,4834.0,19707.0
27,PC,25.0,49.0,22899.0,31303.0,35550.0,16200.0,38760.0
