,Developer,Notable games,selected_titles,selected_titles_series
0,0verflow,School DaysSummer DaysCross Days,[],[]
1,11 bit studios,Frostpunk,[],[]
2,11 bit studios,Frostpunk,['Frostpunk'],['Frostpunk']
3,1c company,King's Bounty: Warriors of the North,[],[]
4,2k czech,MafiaMafia II,['Mafia II'],['Mafia II']
5,2k sports,NBA 2K seriesNHL 2K seriesWWE 2K series,[],['NBA 2K10 Draft Combine']
6,343 industries,Halo series,[],"['Halo 4', 'Halo 2: Anniversary', 'Halo 5: Guardians']"
7,3d realms,Duke Nukem,[],[]
8,4a games,Metro series,[],"['Metro 2033 Redux', 'Metro Redux', 'Metro 2033', 'Metro Exodus']"
9,5th cell,Scribblenauts series,[],[]
10,5th cell,Scribblenauts series,['Scribblenauts'],"['Scribblenauts', 'Super Scribblenauts', 'Scribblenauts Unlimited', 'Scribblenauts Unmasked: A DC Comics Adventure']"
11,989 studios,Twisted Metal III–4Jet Moto 2124,['Twisted Metal III'],['Twisted Metal III']
13,acclaim studios austin,Turok seriesAll-Star Baseball seriesSouth Park series,[],"['Turok 3: Shadow of Oblivion', 'All-Star Baseball 2002']"
14,accolade,HardBall! seriesStar Control seriesTest Drive II–III,[],"['Bubsy II', 'Test Drive III: The Passion', 'Test Drive: Off-Road 3']"
15,access games,Deadly Premonition,['Deadly Premonition'],['Deadly Premonition']
16,access software,Under a Killing MoonThe Pandora Directive,"['The Pandora Directive', 'Under a Killing Moon']","['Under a Killing Moon', 'The Pandora Directive']"
17,ace team,Zeno Clash series,['Zeno Clash'],"['Zeno Clash II', 'Zeno Clash']"
18,acquire,Tenchu seriesWay of the Samurai seriesShinobido seriesAkiba seriesNo Heroes Allowed! seriesOctopath Traveler,[],['Clan of Champions']
19,acquire,Tenchu seriesWay of the Samurai seriesShinobido seriesAkiba seriesNo Heroes Allowed! seriesOctopath Traveler,"['No Heroes Allowed!', 'Way of the Samurai']","['What Did I Do to Deserve This, My Lord? 2', 'Patchwork Heroes', 'Shinobido: Way of the Ninja', 'Rittai Ninja Katsugeki Tenchu: Shinobi Gaisen', 'Way of the Samurai 3', 'No Heroes Allowed!', 'Wizardry: Labyrinth of Lost Souls', 'What Did I Do to Deserve This, My Lord?', 'Tenchu 2: Birth of the Stealth Assassins', 'Way of the Samurai 4', 'Shinobido: Tales of the Ninja', 'Way of the Samurai', 'Aegis of Earth: Protonovus Assault', 'Samurai Western', 'Shinobido 2: Revenge of Zen', 'Way of the Samurai 2']"
20,action forms,Carnivores series,['Carnivores'],"['Carnivores 2', 'Carnivores']"
21,activision,Call of Duty seriesCrash Bandicoot seriesSpyro the Dragon seriesTony Hawk's Pro Skater seriesGuitar Hero seriesSkylanders seriesMechWarrior 2,[],"[""Sid Meier's Civilization: Call to Power"", 'MechWarrior 2: 31st Century Combat', 'Tongue of the Fatman', 'MechWarrior 2: Mercenaries', ""MechWarrior 2: Ghost Bear's Legacy"", 'Call to Power II']"
22,adventure soft,Simon the Sorcerer series,['Simon the Sorcerer'],"['Simon the Sorcerer', 'Simon the Sorcerer II: The Lion, the Wizard and the Wardrobe']"
23,akella,Age of Sail IIAge of Pirates seriesSea Dogs,[],"['Age of Pirates 2: City of Abandoned Ships', 'Sea Dogs: Caribbean Tales', 'Downfall: A Horror Adventure Game', 'Sea Dogs: An Epic Adventure at Sea', 'Pirates of the Caribbean', 'Age of Pirates: Caribbean Tales', 'Inhabited Island: Prisoner of Power']"
24,alfa system,Tales of the World seriesOreshika series,[],"['Tales of the World: Radiant Mythology 2', 'Tales of the World: Radiant Mythology', 'Tales of the World: Narikiri Dungeon 3', 'Tales of Innocence', 'Tales of the World: Radiant Mythology 3']"
25,alphadream,Mario & Luigi series,[],"[""Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey"", 'Mario & Luigi: Partners in Time', 'Mario & Luigi: Paper Jam', 'Mario & Luigi: Dream Team']"
26,amazon game studios,New World,[],[]
27,ambrella,"Hey You, Pikachu!Pokémon Rumble series","['Hey You, Pikachu!', 'Pokémon Rumble']","['Pokémon Channel', 'Pokémon Rumble', 'Pokémon Rumble U', 'Hey You, Pikachu!', 'My Pokémon Ranch', 'Pokémon Rumble World', 'Pokémon Rumble Blast', 'Pokémon Dash']"
28,amusement vision,Super Monkey Ball seriesF-Zero GX,"['F-Zero GX', 'Super Monkey Ball']","['Super Monkey Ball', 'Super Monkey Ball 2', 'F-Zero GX']"
30,ankama games,WakfuDofus,['Dofus'],['Dofus']
31,aquria,Sword Art Online series,[],"['Sword Art Online: Infinity Moment', 'Sword Art Online: Hollow Fragment', 'Sword Art Online Re: Hollow Fragment', 'Sword Art Online: Hollow Realization']"
32,arc system works,Guilty Gear seriesBlazBlue seriesDragon Ball FighterZGranblue Fantasy Versus,"['Guilty Gear', 'Dragon Ball FighterZ']","['Fantasy Hero: Unsigned Legacy', 'Guilty Gear Petit', 'Dragon Ball FighterZ', 'Guilty Gear Dust Strikers', 'Guilty Gear XX Accent Core Plus', 'Guilty Gear XX Slash', 'Guilty Gear Isuka', 'Guilty Gear XX Accent Core', 'Guilty Gear X', 'BlazBlue Centralfiction', 'Guilty Gear X: Advance Edition', 'Guilty Gear Xrd REV 2', 'Guilty Gear Judgment', 'Guilty Gear XX #Reload', 'Guilty Gear XX Accent Core Plus R', 'Double Dragon IV', 'Guilty Gear Xrd -REVELATOR-', 'Guilty Gear XX', 'Guilty Gear 2: Overture', 'Guilty Gear', 'Dragon Ball Z: Extreme Butoden', 'Guilty Gear: Judgment']"
33,arcane kids,Bubsy 3D: Bubsy Visits the James Turrell RetrospectiveSonic Dreams Collection,[],[]
34,arcen games,AI War seriesA Valley Without Wind seriesBionic DuesThe Last FederationStarward Rogue,"['A Valley Without Wind', 'Bionic Dues', 'The Last Federation', 'Starward Rogue']","['The Last Federation', 'A Valley Without Wind 2', 'AI War 2', 'Bionic Dues', 'A Valley Without Wind', 'Starward Rogue', 'AI War: Fleet Command']"
35,arkane studios,Arx FatalisDeathloopDishonored seriesPrey,"['Arx Fatalis', 'Dishonored']","['Dishonored', 'Dishonored: Death of the Outsider', 'Arx Fatalis', 'Dishonored 2', 'Prey (2017)']"
36,arkedo studio,Hell Yeah! Wrath of the Dead Rabbit,['Hell Yeah! Wrath of the Dead Rabbit'],['Hell Yeah! Wrath of the Dead Rabbit']
37,arenanet,Guild WarsGuild Wars 2,['Guild Wars 2'],['Guild Wars 2']
38,arika,Endless Ocean seriesStreet Fighter EX seriesTetris: The Grand Master seriesTetris 99,['Tetris 99'],['Tetris 99']
