,Developer,Country,Notable games,selected_titles_series
0,11 bit studios,Poland,AnomalyThis War of MineFrostpunk,
1,11 bit studios,Poland,AnomalyThis War of MineFrostpunk,This War of Mine
2,11 bit studios,Poland,AnomalyThis War of MineFrostpunk,Frostpunk
3,ace team,Chile,Zeno ClashRock of Ages,Zeno Clash
4,ace team,Chile,Zeno ClashRock of Ages,Rock of Ages
5,alientrap,Canada,CapsizedApotheon,Apotheon
6,ambrosia software,United States,Escape Velocity series,Escape Velocity Override
7,ambrosia software,United States,Escape Velocity series,Escape Velocity
8,amplitude studios,France,Endless SpaceEndless LegendDungeon of the Endless,Dungeon of the Endless
9,amplitude studios,France,Endless SpaceEndless LegendDungeon of the Endless,Endless Legend
10,amplitude studios,France,Endless SpaceEndless LegendDungeon of the Endless,Endless Space
11,ankama games,France,Dofus,Dofus
12,anna anthropy,United States,Dys4ia Mighty Jill Off,Mighty Jill Off
13,anna anthropy,United States,Dys4ia Mighty Jill Off,Dys4ia
14,arcane kids,United States,Bubsy 3D: Bubsy Visits the James Turrell Retrospective Sonic Dreams Collection,
15,arcen games,United States,AI War seriesA Valley Without Wind seriesThe Last Federation,A Valley Without Wind 2
16,arcen games,United States,AI War seriesA Valley Without Wind seriesThe Last Federation,AI War: Fleet Command
17,arcen games,United States,AI War seriesA Valley Without Wind seriesThe Last Federation,A Valley Without Wind
18,arcen games,United States,AI War seriesA Valley Without Wind seriesThe Last Federation,AI War 2
19,arcen games,United States,AI War seriesA Valley Without Wind seriesThe Last Federation,The Last Federation
20,arrowhead game studios,Sweden,Magicka Helldivers,Magicka
21,arrowhead game studios,Sweden,Magicka Helldivers,Helldivers
22,artix entertainment,United States,AdventureQuestDragonFableMechQuestAdventureQuest WorldsWarpForceEpicDuelHeroSmash,MechQuest
23,artix entertainment,United States,AdventureQuestDragonFableMechQuestAdventureQuest WorldsWarpForceEpicDuelHeroSmash,AdventureQuest Worlds
24,artix entertainment,United States,AdventureQuestDragonFableMechQuestAdventureQuest WorldsWarpForceEpicDuelHeroSmash,DragonFable
25,aventurine sa,Greece,Darkfall Online,Darkfall
26,basilisk games,United States,Eschalon series,
27,big finish games,United States,Three Cards to Midnight,
28,blitz games studios,United Kingdom (England),Powerup ForeverDroplitzInvincible Tiger: The Legend of Han Tao,
29,blue fang games,United States,Zoo Tycoon series,Zoo Tycoon: Complete Collection
30,blue fang games,United States,Zoo Tycoon series,Zoo Tycoon
31,blue fang games,United States,Zoo Tycoon series,Zoo Tycoon 2 DS
32,bohemia interactive studio,Czech Republic,Operation Flashpoint: Cold War CrisisArmA: Armed AssaultTake On MarsDayZ,Operation Flashpoint: Cold War Crisis
33,cbe software,Czech Republic,J.U.L.I.A.J.U.L.I.A. Among the Stars,
34,cbe software,Czech Republic,J.U.L.I.A.J.U.L.I.A. Among the Stars,J.U.L.I.A.
35,ccp games,Iceland,Eve Online,Eve Online
