,Unnamed: 0,img,title,console,genre,publisher,developer,vg_score,critic_score,user_score,total_shipped,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
1,144,/games/boxart/full_8688619AmericaFrontccc.jpg,Devil May Cry,PS2,Action,Capcom,Capcom,,9.1,9.3,2.16,,,,,,2001-10-16,
2,7454,/games/boxart/full_7401032AmericaFrontccc.jpg,Devil May Cry,NS,Action,Capcom,Capcom,,,,,,,,,,2019-10-01,2019-05-06
3,6,/games/boxart/full_6510540AmericaFrontccc.jpg,Grand Theft Auto V,PS3,Action,Rockstar Games,Rockstar North,,9.4,,,20.32,6.37,0.99,9.85,3.12,2013-09-17,
4,8,/games/boxart/full_5563178AmericaFrontccc.jpg,Grand Theft Auto V,PS4,Action,Rockstar Games,Rockstar North,,9.7,,,19.39,6.06,0.6,9.71,3.02,2014-11-18,2018-01-03
5,12,/games/boxart/full_9218923AmericaFrontccc.jpg,Grand Theft Auto V,X360,Action,Rockstar Games,Rockstar North,,,,,15.86,9.06,0.06,5.33,1.42,2013-09-17,
6,14,/games/boxart/full_9031276AmericaFrontccc.jpg,Grand Theft Auto V,PC,Action,Rockstar Games,Rockstar North,,,,12.6,,,,,,2015-04-14,2018-11-02
7,21,/games/boxart/full_8047513AmericaFrontccc.jpg,Grand Theft Auto V,XOne,Action,Rockstar Games,Rockstar North,,9.0,9.0,,8.72,4.7,0.01,3.25,0.76,2014-11-18,2018-04-11
8,14284,/games/boxart/full_915577AmericaFrontccc.jpg,Grand Theft Auto V,XSX,Action-Adventure,Rockstar Games,Rockstar Games,,,,,,,,,,,2020-06-12
9,14285,/games/boxart/full_8752476AmericaFrontccc.jpg,Grand Theft Auto V,PS5,Action-Adventure,Rockstar Games,Rockstar Games,,,,,,,,,,,2020-06-11
11,61,/games/boxart/full_8811836AmericaFrontccc.jpg,Frogger,PS,Action,Hasbro Interactive,Millenium Interactive,,,,,4.16,3.79,,0.27,0.11,1997-09-30,
12,143,/games/boxart/7351891ccc.jpg,Frogger,2600,Action,Parker Bros.,Konami,,,,,2.2,2.06,,0.12,0.02,1982-01-01,
13,4550,/games/boxart/default.jpg,Frogger,GB,Action,Majesco,Majesco Games,,,,,,,,,,1998-08-01,
14,4551,/games/boxart/full_3477505AmericaFrontccc.jpg,Frogger,SNES,Action,Majesco,Morning Star Multimedia,,,,,,,,,,1998-01-01,
15,4552,/games/boxart/full_6064107AmericaFrontccc.jpg,Frogger,XBL,Action,Konami,Digital Eclipse,,6.4,8.0,,,,,,,2006-07-12,
16,4553,/games/boxart/9872888ccc.jpg,Frogger,5200,Action,Parker Bros.,Parker Brothers,,,,,,,,,,1983-01-01,
17,4554,/games/boxart/full_902121AmericaFrontccc.jpg,Frogger,GEN,Action,Majesco,Morning Star Multimedia,,,,,,,,,,1998-01-01,
18,4555,/games/boxart/full_7493783AmericaFrontccc.jpg,Frogger,PC,Action,Sierra Online,Konami,,,,,,,,,,1983-01-01,
19,30007,/games/boxart/default.jpg,Frogger,Int,Platform,Parker Brothers,Parker Bros.,,,,,,,,,,1983-01-01,2018-01-13
20,9,/games/boxart/3887656ccc.jpg,Grand Theft Auto: San Andreas,PS2,Action,Rockstar Games,Rockstar North,,9.5,,17.3,,,,,,2004-10-26,
21,165,/games/boxart/1223151ccc.jpg,Grand Theft Auto: San Andreas,XB,Action,Rockstar Games,Rockstar North,,9.2,,,1.95,1.26,,0.61,0.09,2005-06-07,
22,376,/games/boxart/752499ccc.jpg,Grand Theft Auto: San Andreas,PC,Action,Rockstar Games,Rockstar North,,9.4,,,0.97,0.0,,0.93,0.04,2005-06-07,
23,1857,/games/boxart/full_7647298AmericaFrontccc.jpg,Grand Theft Auto: San Andreas,XBL,Action,Rockstar Games,Rockstar North,,,,,0.13,0.09,,0.02,0.01,2008-10-20,
24,18785,/games/boxart/default.jpg,Grand Theft Auto: San Andreas,PS3,Misc,Rockstar Games,Unknown,,,,,0.01,,,0.01,0.0,2012-12-11,
25,21486,/games/boxart/default.jpg,Grand Theft Auto: San Andreas,And,Misc,Rockstar Games,Unknown,,,,,,,,,,2014-01-01,
26,21487,/games/boxart/default.jpg,Grand Theft Auto: San Andreas,OSX,Misc,Rockstar Games,Unknown,,,,,,,,,,2011-09-01,
27,21488,/games/boxart/default.jpg,Grand Theft Auto: San Andreas,WinP,Misc,Rockstar Games,Unknown,,,,,,,,,,2014-01-01,
28,10,/games/boxart/full_2804791AmericaFrontccc.jpg,Uncharted 4: A Thief's End,PS4,Action,Sony Interactive Entertainment,Naughty Dog,,9.2,,16.25,,,,,,2016-05-10,2018-09-23
29,11,/games/boxart/827563ccc.jpg,Grand Theft Auto: Vice City,PS2,Action,Rockstar Games,Rockstar North,,9.6,,,16.15,8.41,0.47,5.49,1.78,2002-10-28,
30,2572,/games/boxart/1561578ccc.jpg,Grand Theft Auto: Vice City,PC,Action,Rockstar Games,Rockstar North,,9.0,,,0.04,,,0.03,0.0,2003-05-12,2018-02-03
31,13,/games/boxart/3570928ccc.jpg,Grand Theft Auto III,PS2,Action,Rockstar Games,DMA Design,,9.5,,,13.1,6.99,0.3,4.51,1.3,2001-10-23,
32,2929,/games/boxart/full_8521937AmericaFrontccc.jpg,Grand Theft Auto III,PC,Action,Rockstar Games,DMA Design,,9.1,,,0.01,,,0.01,0.0,2002-05-20,
33,4762,/games/boxart/9856109ccc.jpg,Grand Theft Auto III,XB,Action,Rockstar Games,Rockstar Vienna,,,,,,,,,,2003-10-31,
34,15,/games/boxart/full_1182151AmericaFrontccc.jpg,Grand Theft Auto IV,X360,Action,Rockstar Games,Rockstar North,9.0,10.0,,,11.09,6.8,0.14,3.11,1.04,2008-04-29,
35,17,/games/boxart/full_1729769AmericaFrontccc.jpg,Grand Theft Auto IV,PS3,Action,Rockstar Games,Rockstar North,9.0,10.0,9.0,,10.57,4.79,0.44,3.73,1.62,2008-04-29,
36,414,/games/boxart/full_5802129AmericaFrontccc.jpg,Grand Theft Auto IV,PC,Action,Rockstar Games,Rockstar Toronto,,9.2,,,0.87,0.01,,0.8,0.06,2008-12-02,
37,4763,/games/boxart/full_87928AmericaFrontccc.jpg,Grand Theft Auto IV,XBL,Action,Rockstar Games,Rockstar North,,,,,,,,,,2009-10-13,
38,16,/games/boxart/full_3094030AmericaFrontccc.jpg,God of War (2018),PS4,Action,Sony Interactive Entertainment,SIE Santa Monica Studio,9.0,9.7,10.0,11.0,,,,,,2018-04-20,2018-12-03
40,24,/games/boxart/full_the-binding-of-isaac_366AmericaFront.jpg,The Binding of Isaac,PC,Action,Edmund McMillen,Edmund McMillen,,8.3,,7.17,,,,,,2011-09-28,2018-12-01
41,6573,/games/boxart/full_6491564AmericaFrontccc.jpg,The Binding of Isaac,Linux,Action,Edmund McMillen,Edmund McMillen,,,,,,,,,,2011-09-28,2018-12-01
42,6574,/games/boxart/full_8919541AmericaFrontccc.jpg,The Binding of Isaac,OSX,Action,Edmund McMillen,Edmund McMillen,,,,,,,,,,2011-09-28,2018-12-01
43,20,/games/boxart/full_uncharted-3-drakes-deception_174AmericaFront.jpg,Uncharted 3: Drake's Deception,PS3,Action,Sony Computer Entertainment,Naughty Dog,,9.3,6.3,9.3,,,,,,2011-11-01,
44,22,/games/boxart/1340019ccc.jpg,Grand Theft Auto: Liberty City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,,8.8,,,7.72,2.9,0.24,2.83,1.74,2005-10-25,
